Size_MB,CPU_Node,Pattern,IPC_mean,IPC_std,Cache_Refs_mean,Cache_Refs_std,Cache_Misses_mean,Cache_Misses_std,Lat_ns_mean,Lat_ns_std
7.6,0,Sequential,0.795809551467494,0.2571740962158078,4943703.333333333,10377.686008397484,952725.3333333334,2723.935062042086,517449.6666666667,50873.058949594226
7.6,1,Sequential,0.6127894578113754,0.005656505421889836,4955275.666666667,15747.453769489917,954131.6666666666,3626.6581801371294,525952.3333333334,55784.60743689866
7.6,2,Sequential,0.6074564621662436,0.002818490018253974,4954770.333333333,9553.314061390192,948002.0,2814.4744920973553,506827.0,24883.737380064114
7.6,3,Sequential,0.6110697422792012,0.004025623083640368,4975243.666666667,21732.461347537745,949640.6666666666,5809.656233853734,487865.3333333333,47725.910791611816
7.6,4,Sequential,0.6084262292104404,0.0067088512358602845,4990720.666666667,7648.208214274039,952798.6666666666,6885.517619532237,493130.0,11163.253378831818
7.6,5,Sequential,0.6060410756495173,0.0051107774060848744,4975087.0,3359.4232639943816,949961.0,4827.996755038954,483057.3333333333,10183.761660386379
7.6,6,Sequential,0.6102431912329788,0.0033626760260335883,4959330.666666667,7595.355130311917,949778.3333333334,2419.6060744583106,483241.6666666667,13683.464018864359
7.6,7,Sequential,0.6083926265149238,0.002499890576834058,4968158.0,25136.15691920041,951897.6666666666,2145.895979668063,517386.3333333333,26621.32153410537
7.6,0,Random,0.7660771631941343,0.007176707244924085,9647418.666666666,17313.30943394577,3089291.0,13297.886448605283,7620467.666666667,428401.5148684182
7.6,1,Random,0.7403287510182693,0.009973379033406459,9706562.0,52943.44222532822,3085807.6666666665,2048.673120718763,7661737.0,451393.25877627666
7.6,2,Random,0.7321116426107716,0.007745668392210788,9682895.333333334,41526.98624856961,3096056.0,1676.8869967889905,7526277.333333333,239351.704237834
7.6,3,Random,0.7328545752119847,0.006701965943006246,9676609.666666666,32794.50625062409,3090839.0,2076.229916619705,7591419.666666667,366535.0726295583
7.6,4,Random,0.7364346498072839,0.009397105179589398,9661016.0,10364.17795421647,3096540.3333333335,4441.165337561253,7704752.333333333,299212.48421629885
7.6,5,Random,0.7260469474098704,0.008818627543196726,9676374.666666666,27803.941223422902,3096447.0,5768.226128253526,8256241.0,550150.3889998322
7.6,6,Random,0.739648522137193,0.0017031421778385572,9621876.666666666,20014.77882854456,3093966.0,2857.0967781998565,7525942.666666667,50783.66627393322
7.6,7,Random,0.7435187161365673,0.00466270130688972,9690093.0,24871.704042948084,3095606.3333333335,5639.582510158788,7799444.0,372818.6999789576
76.3,0,Sequential,1.49478262615753,0.076772210758548,12456507.333333334,31096.375355050986,955696.0,1431.8724337966237,5818339.666666667,88998.57767527648
76.3,1,Sequential,1.5280662591843635,0.04931802225223052,12510487.666666666,15734.79914781953,956902.6666666666,3289.1605143089155,5779504.333333333,123452.36306995325
76.3,2,Sequential,1.4868862654453172,0.021494359419155902,12580636.666666666,51091.420756217856,958189.3333333334,5772.047258603792,5827743.666666667,37853.05655939674
76.3,3,Sequential,1.5237604491012995,0.035240735562954595,12587117.0,39157.01166670749,959630.3333333334,3649.4160567898466,5901348.666666667,547771.8567860975
76.3,4,Sequential,1.4875866960170525,0.04224464762525771,12539582.333333334,75624.67504870499,959293.6666666666,3143.4898158292517,5236692.666666667,416310.81425807596
76.3,5,Sequential,1.500581027595297,0.038303158604141054,12560049.333333334,34036.10587139617,959435.3333333334,1239.7250591248942,6078039.333333333,124866.64983181946
76.3,6,Sequential,1.4901989523451002,0.0404121747353327,12514277.666666666,62026.33625771842,954175.3333333334,3981.8943844467913,5899616.0,107037.32186796653
76.3,7,Sequential,1.5253943461377208,0.04459212459787883,12544144.0,36602.43681323235,956143.3333333334,3352.603896807508,5973013.333333333,95671.52023576412
76.3,0,Random,0.5890342870237243,0.0016876605982765486,69867949.0,179425.1108401497,26553825.666666668,8312.262801962466,193321702.33333334,829138.0551127914
76.3,1,Random,0.5894831348622839,0.0012932479764770544,69904498.33333333,161828.20941013002,26542012.0,8963.99877286917,192989430.0,981697.443244438
76.3,2,Random,0.569270753429471,0.002664442194373945,70040098.33333333,269067.35966709565,26558754.333333332,9005.319551366414,199748837.66666666,1082356.709708444
76.3,3,Random,0.5694507839265811,0.0016760066202728316,70072138.0,265607.24152151175,26558816.666666668,3858.710089596724,199615765.33333334,1459999.5131538762
76.3,4,Random,0.555846561397401,0.002408312422598763,69925402.66666667,22224.69278877788,26561593.333333332,20027.00294324862,204012559.66666666,742448.8211611327
76.3,5,Random,0.555151366198637,0.004051948820514001,69630642.33333333,162779.6640254004,26551077.0,5737.556506620799,205752358.0,1805020.4761455385
76.3,6,Random,0.556241184004135,0.004046281296683032,69829737.66666667,102620.75248321959,26541056.333333332,528.7975878243857,204587082.0,1276232.7111262532
76.3,7,Random,0.5578101951239216,0.0016915610863387437,69909212.66666667,121585.05808783504,26570200.0,10606.774847552231,204052457.66666666,1316330.773611844
