Mo,IPC,L1_Misses,LLC_Misses,dTLB_Misses,Branch_Misses,lat_ns
8000.0,0.5629516343214377,2415740168.3333335,1635051146.6666667,798766982.3333334,16349078.666666666,44119865169.33333
16000.0,0.5382829173136349,5049777200.333333,3376123329.0,1613069679.0,35092371.0,94860248769.00017
24000.0,0.5341422740865851,7993112775.333333,5097605661.333333,2414048389.3333335,38807783.333333336,145494994273.33377
